09:11:53 [INFO] Opening target process: csgo.exe
09:11:53 [INFO] Starting signature scanning: 57 items
09:11:53 [INFO] Found signature: dwClientState => 0x58BFDC
09:11:53 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
09:11:53 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
09:11:53 [INFO] Found signature: dwClientState_Map => 0x28C
09:11:53 [INFO] Found signature: dwClientState_MapDirectory => 0x188
09:11:53 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
09:11:53 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
09:11:53 [INFO] Found signature: dwClientState_State => 0x108
09:11:53 [INFO] Found signature: dwClientState_ViewAngles => 0x4D90
09:11:53 [INFO] Found signature: clientstate_delta_ticks => 0x174
09:11:53 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
09:11:53 [INFO] Found signature: clientstate_choked_commands => 0x4D30
09:11:53 [INFO] Found signature: clientstate_net_channel => 0x9C
09:11:53 [INFO] Found signature: dwEntityList => 0x4DD7AEC
09:11:53 [INFO] Found signature: dwForceAttack => 0x3207FE8
09:11:53 [INFO] Found signature: dwForceAttack2 => 0x3207FF4
09:11:53 [INFO] Found signature: dwForceBackward => 0x3208030
09:11:53 [INFO] Found signature: dwForceForward => 0x3208024
09:11:53 [INFO] Found signature: dwForceJump => 0x5281A34
09:11:53 [INFO] Found signature: dwForceLeft => 0x3207FA0
09:11:53 [INFO] Found signature: dwForceRight => 0x3207FAC
09:11:53 [INFO] Found signature: dwGameDir => 0x62A900
09:11:53 [INFO] Found signature: dwGameRulesProxy => 0x52F525C
09:11:53 [INFO] Found signature: dwGetAllClasses => 0xDE5DAC
09:11:53 [INFO] Found signature: dwGlobalVars => 0x58BCE0
09:11:53 [INFO] Found signature: dwGlowObjectManager => 0x53206F8
09:11:53 [INFO] Found signature: dwInput => 0x52290C0
09:11:53 [INFO] Found signature: dwInterfaceLinkList => 0x96C044
09:11:53 [INFO] Found signature: dwLocalPlayer => 0xDBB5CC
09:11:53 [INFO] Found signature: dwMouseEnable => 0xDC12D8
09:11:53 [INFO] Found signature: dwMouseEnablePtr => 0xDC12A8
